id_meteo;Date;Lieu;Vitesse_vent_moyen;Humidité;Température
208;2022-01-29 00:00:00+00:00;Métropole du Grand Paris;3.3;92.0;5.800000000000011
209;2022-02-06 00:00:00+00:00;Métropole du Grand Paris;6.5;80.0;6.7000000000000455
210;2022-01-09 00:00:00+00:00;Métropole du Grand Paris;8.4;82.0;6.100000000000023
211;2022-01-10 12:00:00+00:00;Métropole du Grand Paris;2.2;100.0;3.400000000000034
212;2022-01-13 12:00:00+00:00;Métropole du Grand Paris;3.2;100.0;1.8000000000000114
213;2022-01-17 12:00:00+00:00;Métropole du Grand Paris;2.0;90.0;6.600000000000023
214;2022-01-19 21:00:00+00:00;Métropole du Grand Paris;4.1;97.0;5.600000000000023
215;2022-01-22 03:00:00+00:00;Métropole du Grand Paris;2.4;83.0;3.900000000000034
216;2022-01-22 15:00:00+00:00;Métropole du Grand Paris;2.0;75.0;5.900000000000034
217;2022-08-28 15:00:00+00:00;Métropole du Grand Paris;2.9;44.0;26.700000000000045
218;2022-09-05 06:00:00+00:00;Métropole du Grand Paris;1.5;80.0;18.900000000000038
219;2022-09-06 21:00:00+00:00;Métropole du Grand Paris;2.7;71.0;20.200000000000045
220;2022-09-11 09:00:00+00:00;Métropole du Grand Paris;1.0;100.0;14.600000000000025
221;2022-06-23 06:00:00+00:00;Métropole du Grand Paris;3.6;83.0;18.700000000000045
222;2022-06-25 00:00:00+00:00;Métropole du Grand Paris;4.8;69.0;18.400000000000038
223;2022-06-27 21:00:00+00:00;Métropole du Grand Paris;4.4;48.0;18.400000000000038
224;2022-06-30 12:00:00+00:00;Métropole du Grand Paris;1.5;96.0;13.900000000000034
225;2022-07-04 21:00:00+00:00;Métropole du Grand Paris;5.8;63.0;19.100000000000023
226;2022-07-06 12:00:00+00:00;Métropole du Grand Paris;3.5;39.0;24.5
227;2022-07-08 00:00:00+00:00;Métropole du Grand Paris;4.5;69.0;15.5
228;2022-07-09 06:00:00+00:00;Métropole du Grand Paris;2.0;68.0;19.600000000000023
229;2022-07-10 00:00:00+00:00;Métropole du Grand Paris;5.7;62.0;17.5
230;2022-07-12 21:00:00+00:00;Métropole du Grand Paris;1.2;35.0;25.100000000000023
231;2022-08-04 18:00:00+00:00;Métropole du Grand Paris;3.7;73.0;24.400000000000038
232;2022-08-08 15:00:00+00:00;Métropole du Grand Paris;6.4;26.0;28.5
233;2022-08-10 12:00:00+00:00;Métropole du Grand Paris;6.2;25.0;32.0
234;2022-08-10 18:00:00+00:00;Métropole du Grand Paris;6.2;27.0;30.600000000000023
235;2022-08-18 15:00:00+00:00;Métropole du Grand Paris;5.9;46.0;27.100000000000023
236;2022-09-15 15:00:00+00:00;Métropole du Grand Paris;5.4;50.0;22.30000000000001
237;2022-09-22 18:00:00+00:00;Métropole du Grand Paris;1.1;47.0;16.80000000000001
238;2022-10-02 09:00:00+00:00;Métropole du Grand Paris;6.1;82.0;17.900000000000034
239;2022-10-04 03:00:00+00:00;Métropole du Grand Paris;0.7;99.0;5.7000000000000455
240;2022-06-11 18:00:00+00:00;Métropole du Grand Paris;2.5;47.0;25.80000000000001
241;2022-06-12 15:00:00+00:00;Métropole du Grand Paris;4.3;36.0;24.400000000000038
242;2022-06-14 06:00:00+00:00;Métropole du Grand Paris;3.2;62.0;16.400000000000034
243;2022-06-16 06:00:00+00:00;Métropole du Grand Paris;2.3;63.0;20.30000000000001
244;2022-06-17 09:00:00+00:00;Métropole du Grand Paris;2.6;42.0;27.900000000000038
245;2022-06-17 12:00:00+00:00;Métropole du Grand Paris;1.1;31.0;31.0
246;2022-06-20 12:00:00+00:00;Métropole du Grand Paris;4.3;76.0;18.900000000000038
247;2022-06-20 21:00:00+00:00;Métropole du Grand Paris;5.3;61.0;19.100000000000023
248;2022-06-21 18:00:00+00:00;Métropole du Grand Paris;3.7;56.0;25.5
249;2022-06-22 03:00:00+00:00;Métropole du Grand Paris;2.3;75.0;16.900000000000034
250;2022-07-14 12:00:00+00:00;Métropole du Grand Paris;4.5;34.0;30.100000000000023
251;2022-07-15 00:00:00+00:00;Métropole du Grand Paris;4.3;52.0;20.0
252;2022-07-17 00:00:00+00:00;Métropole du Grand Paris;4.9;49.0;20.600000000000023
253;2022-07-17 21:00:00+00:00;Métropole du Grand Paris;2.3;33.0;25.100000000000023
254;2022-07-18 15:00:00+00:00;Métropole du Grand Paris;3.3;16.0;37.5
255;2022-07-19 09:00:00+00:00;Métropole du Grand Paris;3.7;29.0;33.400000000000034
256;2022-07-23 21:00:00+00:00;Métropole du Grand Paris;0.5;62.0;21.600000000000023
257;2022-10-27 18:00:00+00:00;Métropole du Grand Paris;0.7;77.0;18.700000000000045
258;2022-10-29 21:00:00+00:00;Métropole du Grand Paris;2.5;75.0;17.200000000000045
259;2022-11-02 06:00:00+00:00;Métropole du Grand Paris;1.6;93.0;9.5
260;2022-11-02 09:00:00+00:00;Métropole du Grand Paris;3.2;96.0;10.600000000000025
261;2022-11-03 09:00:00+00:00;Métropole du Grand Paris;4.4;78.0;12.600000000000025
262;2022-11-05 06:00:00+00:00;Métropole du Grand Paris;1.8;96.0;5.0
263;2022-10-13 18:00:00+00:00;Métropole du Grand Paris;3.4;96.0;14.200000000000044
264;2022-10-18 18:00:00+00:00;Métropole du Grand Paris;1.4;91.0;16.900000000000034
265;2022-10-20 15:00:00+00:00;Métropole du Grand Paris;2.2;67.0;21.400000000000038
266;2022-10-24 09:00:00+00:00;Métropole du Grand Paris;7.6;78.0;16.400000000000034
267;2022-10-08 18:00:00+00:00;Métropole du Grand Paris;2.5;55.0;14.300000000000011
268;2022-10-09 06:00:00+00:00;Métropole du Grand Paris;0.8;92.0;4.600000000000023
269;2022-10-11 00:00:00+00:00;Métropole du Grand Paris;4.5;82.0;13.200000000000044
270;2022-05-15 03:00:00+00:00;Métropole du Grand Paris;0.8;67.0;14.400000000000034
271;2022-05-16 03:00:00+00:00;Métropole du Grand Paris;3.7;91.0;16.600000000000023
272;2022-05-18 18:00:00+00:00;Métropole du Grand Paris;3.9;48.0;27.200000000000045
273;2022-05-19 18:00:00+00:00;Métropole du Grand Paris;4.4;55.0;24.600000000000023
274;2022-05-21 00:00:00+00:00;Métropole du Grand Paris;1.0;85.0;12.700000000000044
275;2022-05-21 06:00:00+00:00;Métropole du Grand Paris;2.0;86.0;13.800000000000011
276;2022-05-22 18:00:00+00:00;Métropole du Grand Paris;4.4;58.0;20.900000000000038
277;2022-05-25 15:00:00+00:00;Métropole du Grand Paris;5.8;42.0;20.100000000000023
278;2022-05-25 21:00:00+00:00;Métropole du Grand Paris;3.3;64.0;16.100000000000023
279;2022-04-22 03:00:00+00:00;Métropole du Grand Paris;2.7;69.0;10.300000000000011
