id_pos,id_type_install,type_install,lat,lon,geometry,id_arr
3356,100003099-353242239,cpt_velo,48.87813,2.3497,POINT (2.3497 48.87813),18
3357,100047533-101047533,cpt_velo,48.87756,2.35535,POINT (2.35535 48.87756),18
3358,100047536-101047536,cpt_velo,48.87769,2.35475,POINT (2.35475 48.87769),18
3359,75010002,station_carburant,48.8842,2.36446,POINT (2.36446 48.8842),18
3360,75010003,station_carburant,48.879,2.37,POINT (2.37 48.879),18
3361,1240,cpt_traffic,48.86765308313737,2.362827833173667,"LINESTRING (2.3633354003 48.8673649967, 2.362320266 48.8679411696)",13
3362,1248,cpt_traffic,48.86694430340754,2.3625633935632657,"LINESTRING (2.3618958614 48.8666706741, 2.3630697219 48.8671388467, 2.3631671574 48.8672943667)",13
3363,1367,cpt_traffic,48.863854552505614,2.3661882968895864,"LINESTRING (2.3657241529 48.8646277966, 2.3666524409 48.8630813084)",13
3364,1371,cpt_traffic,48.86276214699741,2.3667396120649635,"LINESTRING (2.3666524409 48.8630813084, 2.3668267832 48.8624429856)",13
3365,1373,cpt_traffic,48.86199080838854,2.366932224999961,"LINESTRING (2.3668267832 48.8624429856, 2.3670376668 48.8615386312)",13
3366,1377,cpt_traffic,48.86050855445325,2.3672738977801866,"LINESTRING (2.3670376668 48.8615386312, 2.3675101288 48.8594784777)",13
3367,6742,cpt_traffic,48.86813792202528,2.3613701975442125,"LINESTRING (2.3622324627 48.8679866491, 2.3605079324 48.868289195)",13
3368,6543,cpt_traffic,48.86692544643271,2.354353700369912,"LINESTRING (2.3549348329 48.8679015846, 2.3537725678 48.8659493083)",13
3369,404,cpt_traffic,48.855304656391965,2.3684789209058605,"LINESTRING (2.3683650448 48.8557965713, 2.368592797 48.8548127415)",13
3370,534,cpt_traffic,48.86193557067507,2.353845014968608,"LINESTRING (2.3542644313 48.8626840322, 2.3534255986 48.8611871092)",13
3371,555,cpt_traffic,48.86608414002944,2.353146468873629,"LINESTRING (2.35252037 48.8662189718, 2.3537725678 48.8659493083)",13
3372,556,cpt_traffic,48.86571261024679,2.3549088855096865,"LINESTRING (2.3537725678 48.8659493083, 2.3560452032 48.8654759122)",13
3373,1239,cpt_traffic,48.86757647189594,2.362685762187103,"LINESTRING (2.3622043669405124 48.86785857706878, 2.363167157433694 48.867294366723115)",13
3374,1240,cpt_traffic,48.86765308313737,2.362827833173667,"LINESTRING (2.3633354003390443 48.86736499672455, 2.36232026600829 48.86794116955019)",13
3375,1245,cpt_traffic,48.86695261494375,2.364024693374307,"LINESTRING (2.36471398640957 48.86654023316295, 2.3633354003390443 48.86736499672455)",13
3376,1246,cpt_traffic,48.86687745735524,2.3638775605376967,"LINESTRING (2.363167157433694 48.867294366723115, 2.3645879636417 48.86646054798734)",13
3377,1248,cpt_traffic,48.86694430340754,2.3625633935632657,"LINESTRING (2.36189586139148 48.86667067414398, 2.3630697218947545 48.86713884673393, 2.363167157433694 48.867294366723115)",13
3378,1245,cpt_traffic,48.86695261494375,2.364024693374307,"LINESTRING (2.3647139864 48.8665402332, 2.3633354003 48.8673649967)",13
3379,406,cpt_traffic,48.85636663025279,2.368232464391434,"LINESTRING (2.368099884 48.8569366892, 2.3683650448 48.8557965713)",13
3380,521,cpt_traffic,48.86269549837502,2.3505515832290085,"LINESTRING (2.3501541637 48.8619872379, 2.3509490028 48.8634037589)",13
3381,561,cpt_traffic,48.86465678231109,2.352464039211492,"LINESTRING (2.3533100893 48.8648353471, 2.3516179891 48.8644782175)",13
3382,1379,cpt_traffic,48.858555509960006,2.367724079576845,"LINESTRING (2.3675101288 48.8594784777, 2.3679380304 48.8576325422)",13
3383,521,cpt_traffic,48.86269549837502,2.350551583229009,"LINESTRING (2.350154163690688 48.86198723787503, 2.35094900276733 48.86340375887501)",13
3384,1246,cpt_traffic,48.86687745735523,2.3638775605376967,"LINESTRING (2.3631671574 48.8672943667, 2.3645879636 48.866460548)",13
3385,522,cpt_traffic,48.8639746060629,2.3513026241315576,"LINESTRING (2.3509872591 48.8634709946, 2.3516179891 48.8644782175)",13
3386,559,cpt_traffic,48.86635700121796,2.3599372636616733,"LINESTRING (2.361813568 48.866782851, 2.3580609594 48.8659311515)",13
3387,1367,cpt_traffic,48.863854552505614,2.366188296889587,"LINESTRING (2.365724152888347 48.86462779661833, 2.3666524408908267 48.86308130839291)",13
3388,1377,cpt_traffic,48.86050855445325,2.367273897780187,"LINESTRING (2.3670376667608215 48.86153863117516, 2.3675101287995526 48.85947847773134)",13
3389,1379,cpt_traffic,48.858555509960006,2.367724079576846,"LINESTRING (2.3675101287995526 48.85947847773134, 2.3679380303541393 48.857632542188675)",13
3390,556,cpt_traffic,48.86571261024679,2.354908885509687,"LINESTRING (2.353772567792957 48.86594930828664, 2.3560452032264174 48.865475912206946)",13
3391,559,cpt_traffic,48.86635700121796,2.3599372636616733,"LINESTRING (2.361813567964285 48.86678285098262, 2.3580609593590616 48.865931151453296)",13
3392,555,cpt_traffic,48.86608414002945,2.3531464688736303,"LINESTRING (2.3525203699543034 48.866218971772255, 2.353772567792957 48.86594930828664)",13
3393,561,cpt_traffic,48.86465678231109,2.352464039211492,"LINESTRING (2.353310089286081 48.86483534707882, 2.351617989136903 48.86447821754337)",13
3394,6543,cpt_traffic,48.86692544643271,2.3543537003699124,"LINESTRING (2.354934832946868 48.86790158457878, 2.353772567792957 48.86594930828664)",13
3395,404,cpt_traffic,48.855304656391965,2.368478920905861,"LINESTRING (2.368365044767427 48.855796571318606, 2.3685927970442955 48.85481274146533)",13
3396,406,cpt_traffic,48.85636663025279,2.3682324643914345,"LINESTRING (2.3680998840154426 48.85693668918699, 2.368365044767427 48.855796571318606)",13
3397,1371,cpt_traffic,48.86276214699741,2.366739612064964,"LINESTRING (2.3666524408908267 48.86308130839291, 2.3668267832391012 48.86244298560192)",13
3398,1373,cpt_traffic,48.86199080838854,2.366932224999961,"LINESTRING (2.3668267832391012 48.86244298560192, 2.3670376667608215 48.86153863117516)",13
3399,1239,cpt_traffic,48.86757647189594,2.3626857621871027,"LINESTRING (2.3622043669 48.8678585771, 2.3631671574 48.8672943667)",13
3400,6742,cpt_traffic,48.86813792202528,2.3613701975442125,"LINESTRING (2.3622324626953515 48.867986649052156, 2.3605079323930735 48.86828919499841)",13
