id_date,mois,jour_semaine
2022-10-27,Octobre,Jeudi
2022-10-28,Octobre,Vendredi
2022-10-29,Octobre,Samedi
2022-10-30,Octobre,Dimanche
2022-10-31,Octobre,Lundi
2022-11-01,Novembre,Mardi
2022-11-02,Novembre,Mercredi
2022-11-03,Novembre,Jeudi
2022-11-04,Novembre,Vendredi
2022-11-05,Novembre,Samedi
2022-11-06,Novembre,Dimanche
2022-11-07,Novembre,Lundi
2022-11-08,Novembre,Mardi
2022-11-09,Novembre,Mercredi
2022-11-10,Novembre,Jeudi
2022-11-11,Novembre,Vendredi
2022-11-12,Novembre,Samedi
2022-11-13,Novembre,Dimanche
2022-11-14,Novembre,Lundi
2022-11-15,Novembre,Mardi
2022-11-16,Novembre,Mercredi
2022-11-17,Novembre,Jeudi
2022-11-18,Novembre,Vendredi
2022-11-19,Novembre,Samedi
2022-11-20,Novembre,Dimanche
2022-11-21,Novembre,Lundi
2022-11-22,Novembre,Mardi
2022-11-23,Novembre,Mercredi
