id_meteo,Vitesse_vent_moyen,Humidité,Température,id_date,id_heure
238,6.1,82.0,17.900000000000034,2022-10-02,9:00
239,0.7,99.0,5.7000000000000455,2022-10-04,3:00
240,2.5,47.0,25.80000000000001,2022-06-11,8:00
241,4.3,36.0,24.40000000000004,2022-06-12,5:00
242,3.2,62.0,16.400000000000034,2022-06-14,6:00
243,2.3,63.0,20.30000000000001,2022-06-16,6:00
244,2.6,42.0,27.90000000000004,2022-06-17,9:00
245,1.1,31.0,31.0,2022-06-17,2:00
246,4.3,76.0,18.90000000000004,2022-06-20,2:00
247,5.3,61.0,19.100000000000023,2022-06-20,1:00
248,3.7,56.0,25.5,2022-06-21,8:00
249,2.3,75.0,16.900000000000034,2022-06-22,3:00
250,4.5,34.0,30.100000000000023,2022-07-14,2:00
251,4.3,52.0,20.0,2022-07-15,0:00
252,4.9,49.0,20.600000000000023,2022-07-17,0:00
253,2.3,33.0,25.100000000000023,2022-07-17,1:00
254,3.3,16.0,37.5,2022-07-18,5:00
255,3.7,29.0,33.400000000000034,2022-07-19,9:00
256,0.5,62.0,21.600000000000023,2022-07-23,1:00
257,0.7,77.0,18.700000000000045,2022-10-27,8:00
258,2.5,75.0,17.200000000000045,2022-10-29,1:00
259,1.6,93.0,9.5,2022-11-02,6:00
260,3.2,96.0,10.600000000000025,2022-11-02,9:00
261,4.4,78.0,12.600000000000025,2022-11-03,9:00
262,1.8,96.0,5.0,2022-11-05,6:00
263,3.4,96.0,14.200000000000044,2022-10-13,8:00
264,1.4,91.0,16.900000000000034,2022-10-18,8:00
265,2.2,67.0,21.40000000000004,2022-10-20,5:00
266,7.6,78.0,16.400000000000034,2022-10-24,9:00
267,2.5,55.0,14.300000000000011,2022-10-08,8:00
268,0.8,92.0,4.600000000000023,2022-10-09,6:00
269,4.5,82.0,13.200000000000044,2022-10-11,0:00
270,0.8,67.0,14.400000000000034,2022-05-15,3:00
271,3.7,91.0,16.600000000000023,2022-05-16,3:00
272,3.9,48.0,27.200000000000045,2022-05-18,8:00
273,4.4,55.0,24.600000000000023,2022-05-19,8:00
274,1.0,85.0,12.700000000000044,2022-05-21,0:00
275,2.0,86.0,13.800000000000011,2022-05-21,6:00
276,4.4,58.0,20.90000000000004,2022-05-22,8:00
277,5.8,42.0,20.100000000000023,2022-05-25,5:00
278,3.3,64.0,16.100000000000023,2022-05-25,1:00
279,2.7,69.0,10.300000000000011,2022-04-22,3:00
280,4.1,70.0,11.300000000000011,2022-04-29,6:00
281,2.2,67.0,9.900000000000034,2022-05-02,0:00
282,3.6,41.0,19.80000000000001,2022-05-06,8:00
283,2.5,60.0,16.200000000000045,2022-05-07,1:00
284,3.3,81.0,13.900000000000034,2022-05-08,0:00
285,1.1,44.0,24.100000000000023,2022-05-09,2:00
286,8.9,42.0,25.200000000000045,2022-05-11,5:00
287,2.5,96.0,5.300000000000011,2022-03-12,6:00
288,1.5,85.0,8.5,2022-03-15,3:00
289,4.2,35.0,16.400000000000034,2022-03-22,2:00
290,1.2,62.0,8.5,2022-03-23,0:00
291,8.4,90.0,13.0,2022-02-17,0:00
292,2.3,78.0,0.3000000000000113,2022-02-27,6:00
293,0.6,84.0,2.0,2022-03-01,6:00
294,0.9,67.0,10.800000000000011,2022-03-03,8:00
295,8.7,85.0,1.900000000000034,2022-04-01,6:00
296,8.0,89.0,1.900000000000034,2022-04-01,5:00
297,6.8,58.0,9.200000000000044,2022-04-04,5:00
298,5.0,63.0,8.100000000000023,2022-04-04,1:00
299,8.1,85.0,10.5,2022-04-07,0:00
300,3.6,63.0,8.900000000000034,2022-04-10,1:00
301,1.9,77.0,10.400000000000034,2022-04-12,6:00
302,4.9,59.0,17.700000000000045,2022-04-12,8:00
303,1.1,84.0,14.600000000000025,2022-04-13,2:00
304,1.6,74.0,17.100000000000023,2022-04-14,9:00
305,1.2,81.0,12.100000000000025,2022-04-15,0:00
306,6.0,63.0,12.200000000000044,2022-02-13,1:00
307,3.8,61.0,13.800000000000011,2022-04-19,9:00
308,3.6,61.0,13.800000000000011,2022-04-20,9:00
309,2.3,67.0,-0.0999999999999659,2022-03-08,3:00
310,2.2,70.0,-0.6999999999999886,2022-03-08,6:00
311,4.7,88.0,12.0,2022-11-16,5:00
312,2.0,92.0,5.800000000000011,2022-11-19,6:00
313,3.8,70.0,10.600000000000025,2022-11-19,5:00
314,3.4,82.0,7.600000000000023,2022-03-13,3:00
315,2.6,85.0,7.700000000000045,2022-03-14,9:00
316,6.7,31.0,17.900000000000034,2022-03-22,5:00
317,1.3,71.0,5.100000000000023,2022-03-24,6:00
318,3.1,73.0,10.600000000000025,2022-04-25,3:00
319,4.3,83.0,9.700000000000044,2022-04-25,6:00
320,5.6,35.0,20.100000000000023,2022-04-28,2:00
321,4.5,33.0,20.30000000000001,2022-04-28,5:00
322,2.3,72.0,9.0,2022-05-02,3:00
323,4.8,86.0,9.0,2022-11-18,0:00
324,2.9,75.0,21.80000000000001,2022-06-22,1:00
325,4.8,86.0,4.100000000000023,2022-01-27,2:00
326,5.0,78.0,7.2000000000000455,2022-02-03,6:00
327,4.4,90.0,7.0,2022-02-03,1:00
328,6.3,88.0,6.600000000000023,2022-02-06,6:00
329,3.8,39.0,6.900000000000034,2022-04-03,8:00
330,2.4,84.0,0.8000000000000114,2022-04-04,3:00
331,7.6,41.0,10.0,2022-04-04,2:00
332,1.1,92.0,10.600000000000025,2022-04-15,6:00
333,2.9,53.0,19.90000000000004,2022-04-15,2:00
334,3.6,56.0,8.400000000000034,2022-03-05,8:00
335,3.3,58.0,11.700000000000044,2022-02-17,8:00
336,7.5,76.0,12.300000000000011,2022-02-20,2:00
337,3.5,84.0,15.100000000000025,2022-10-13,2:00
338,3.2,99.0,15.300000000000011,2022-10-15,3:00
339,4.9,92.0,17.600000000000023,2022-10-15,9:00
340,3.8,80.0,18.200000000000045,2022-10-16,2:00
341,3.1,98.0,15.100000000000025,2022-10-21,6:00
342,1.2,88.0,15.400000000000034,2022-10-22,1:00
343,4.7,89.0,6.300000000000011,2022-02-10,9:00
344,3.7,67.0,14.5,2022-04-16,9:00
345,5.8,65.0,12.200000000000044,2022-04-19,1:00
346,4.2,79.0,3.900000000000034,2022-01-05,0:00
347,6.2,84.0,6.800000000000011,2022-01-07,2:00
348,5.2,96.0,7.400000000000034,2022-01-08,2:00
349,3.2,96.0,3.0,2022-01-10,8:00
350,2.0,98.0,0.4000000000000341,2022-01-11,9:00
351,5.6,64.0,9.400000000000034,2022-01-18,2:00
352,3.7,89.0,2.0,2022-01-21,3:00
353,2.9,88.0,3.300000000000012,2022-01-23,9:00
354,1.8,82.0,4.400000000000034,2022-01-23,5:00
355,1.5,99.0,-1.099999999999966,2022-01-25,0:00
356,1.3,100.0,-0.2999999999999545,2022-01-25,9:00
357,1.8,61.0,18.600000000000023,2022-06-26,9:00
358,1.1,85.0,15.200000000000044,2022-06-27,3:00
359,1.1,81.0,13.800000000000011,2022-06-28,3:00
360,3.6,81.0,15.5,2022-07-05,6:00
361,3.2,62.0,19.100000000000023,2022-07-11,0:00
362,6.1,40.0,24.30000000000001,2022-08-05,8:00
363,0.9,84.0,19.100000000000023,2022-08-23,6:00
364,1.3,44.0,24.40000000000004,2022-07-19,6:00
365,2.8,65.0,22.0,2022-07-25,3:00
366,1.1,79.0,17.700000000000045,2022-07-26,6:00
367,2.8,31.0,28.700000000000045,2022-07-29,2:00
368,2.5,35.0,28.40000000000004,2022-07-30,2:00
369,1.3,72.0,19.0,2022-10-27,1:00
370,3.9,92.0,11.900000000000034,2022-11-03,5:00
371,1.1,77.0,8.800000000000011,2022-05-13,3:00
372,2.4,53.0,18.30000000000001,2022-05-14,9:00
373,1.6,50.0,26.5,2022-05-18,2:00
374,4.4,39.0,28.600000000000023,2022-05-18,5:00
375,5.2,66.0,17.100000000000023,2022-05-20,8:00
376,4.7,55.0,22.100000000000023,2022-05-22,5:00
377,1.4,87.0,10.800000000000011,2022-05-24,1:00
378,1.7,89.0,12.400000000000034,2022-05-25,6:00
379,5.5,62.0,12.600000000000025,2022-05-29,1:00
380,3.9,40.0,19.90000000000004,2022-05-31,8:00
